Time (s),"Trial 1 (test, no added mass)",Trial 2 ,Trial 3,Trial 4,Trial 5,Trial 6
0.268,-2.309217655,-2.980779004,-0.1811729017,-0.7856761685,-2.223734651,-0.8319089486
0.272,-2.131302478,-2.894888919,-0.205712926,-0.7243261076,-2.143979572,-0.7828288999
0.276,-2.008602356,-2.686298712,-0.2241179443,-0.6507060345,-2.02127945,-0.7460188633
0.28,-1.947252295,-2.508383535,-0.2241179443,-0.5893559736,-1.910849341,-0.6846688024
0.284,-1.89203724,-2.361143389,-0.2241179443,-0.5218709066,-1.818824249,-0.6049137233
0.288,-1.830687179,-2.238443267,-0.2241179443,-0.5096008944,-1.745204176,-0.5558336745
0.292,-1.830687179,-2.1709582,-0.2302529504,-0.5157359005,-1.714529146,-0.5619686806
0.296,-1.86136221,-2.115743145,-0.1934429139,-0.5034658883,-1.665449097,-0.5312936502
0.3,-1.395101747,-2.078933109,-0.1566328773,-0.4973308822,-1.59796403,-0.4699435893
0.304,-1.168106522,-2.048258078,-0.1259578469,-0.4973308822,-1.518208951,-0.4699435893
0.308,-1.260131613,-2.02985306,-0.08914781031,-0.4911958761,-1.45685889,-0.5067536258
0.312,-1.370561723,-1.986908017,-0.05847277986,-0.4789258639,-1.377103811,-0.4638085832
0.316,-1.450316802,-1.91942295,-0.0339327555,-0.4543858396,-1.309618744,-0.3717834918
0.32,-1.253996607,-1.845802877,-0.01552773723,-0.3930357787,-1.242133677,-0.3411084614
0.324,-1.051541406,-1.802857835,-0.003257725044,-0.3378207239,-1.180783616,-0.3411084614
0.328,-0.9717863267,-1.723102756,0.009012287137,-0.282605669,-1.137838573,-0.3104334309
0.332,-0.9656513206,-1.624942658,0.02128229932,-0.2273906142,-1.082623519,-0.2797584004
0.336,-1.020866375,-1.563592597,0.01514729323,-0.1844455716,-1.045813482,-0.2613533822
0.34,-1.002461357,-1.520647555,0.02128229932,-0.1660405533,-1.002868439,-0.2429483639
0.344,-0.8490862049,-1.471567506,0.02741730541,-0.147635535,-0.9660584028,-0.1877333091
0.348,-0.6650360222,-1.416352451,0.02741730541,-0.1169605046,-0.8924383297,-0.1386532604
